Sample,Phi (degrees),Peak Name,Peak Center (Theta),Tilt Angle (Chi),FWHM (degrees),Net Height,Net Area (cts deg),Area/Base Ratio
SH-124-B3,90,Peak 5 (Tilt),22.919530872330224,8.21538588688834,0.6499799366944973,577.0570613601546,399.2250038353584,0.005610024405293164
SH-124-B3,120,Peak 1 (Tilt),10.122542729463813,-4.5775263012436564,0.645100118324814,1750.0512521736769,1201.6470148997178,0.008836918899373797
SH-124-B3,120,Peak 1b (Tilt),10.81907820235725,-3.8809908283502192,0.5958089138488419,2313.13745107842,1466.9234771767287,0.011521518458960593
SH-124-B3,120,Peak 2a (Tilt),11.700307648773018,-2.9997613819344515,0.6131331386210541,2244.1855048184625,1464.5781990283408,0.012427482465293259
SH-124-B3,120,Peak 2b (Tilt),13.166596377805359,-1.5334726529021108,0.6035405259926956,2077.836373612499,1334.8018634836988,0.012722051380173464
SH-124-B3,120,Peak 3 (Near-specular),15.387808738843704,0.6877397081362346,0.0,0.0,0.0,0.0
SH-124-B3,120,Peak 4 (Near-specular),16.66431786917165,1.9642488384641812,0.0,0.0,0.0,0.0
SH-124-B3,120,Minor Peak A (Tilt),17.01920185673129,2.3191328260238198,0.0,0.0,0.0,0.0
SH-124-B3,120,Minor Peak B (Tilt),17.804452067528004,3.1043830368205345,0.0,0.0,0.0,0.0
SH-124-B3,120,Peak 5 (Tilt),23.188579078462084,8.488510047754614,0.6201329378563862,680.0349745102894,448.86430573057953,0.007395436477433463
SH-124-B3,150,Peak 1 (Tilt),7.689591428962699,-7.011139005556035,0.535238794349115,489.1080061516838,278.64507941673196,0.002401521794688545
SH-124-B3,150,Peak 1b (Tilt),10.400000032129132,-4.300730402389602,0.0,0.0,0.0,0.0
SH-124-B3,150,Peak 2a (Tilt),11.700007032957,-3.000723401561734,0.0,0.0,0.0,0.0
SH-124-B3,150,Peak 2b (Tilt),12.966840399955602,-1.7338900345631316,0.0,0.0,0.0,0.0
SH-124-B3,150,Peak 3 (Near-specular),15.883022268552077,1.182291834033343,0.0,0.0,0.0,0.0
SH-124-B3,150,Peak 4 (Near-specular),16.566418431034766,1.8656879965160318,0.0,0.0,0.0,0.0
SH-124-B3,150,Minor Peak A (Tilt),17.277119003052587,2.5763885685338526,0.26255489519942593,582.5741646329618,162.80598407088445,0.0031144148574577058
SH-124-B3,150,Minor Peak B (Tilt),17.899963933012664,3.19923349849393,0.6499672030082098,999.0064768437484,691.1284478632219,0.013682313804683358
SH-124-B3,150,Peak 5 (Tilt),21.500000003493433,6.799269568974699,0.0,0.0,0.0,0.0
SH-124-B3,180,Peak 1 (Tilt),7.940749188261984,-6.764441773585464,0.3006464180597406,2158.6708809478723,690.7827594344185,0.005887227307273935
